epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28844.7,0.35778,0.2698,0.92275,0.93725,0.96519,0.96071,0.80572,0.62312,0.37314,1.02734,0.00012862,0.00012862,0.00012862
43,29466.1,0.35723,0.2697,0.92322,0.95969,0.97135,0.96551,0.80902,0.62856,0.33526,1.02633,0.00012562,0.00012562,0.00012562
44,30313.7,0.35846,0.26462,0.92242,0.96591,0.96923,0.96363,0.80976,0.62168,0.33387,1.02277,0.000122596,0.000122596,0.000122596
45,31078.8,0.35694,0.26379,0.92358,0.95588,0.9547,0.96344,0.80816,0.62155,0.34794,1.0273,0.000119551,0.000119551,0.000119551
46,32009.9,0.35667,0.26797,0.92403,0.95921,0.97004,0.9673,0.80745,0.61671,0.33143,1.02705,0.000116487,0.000116487,0.000116487
47,32330.7,0.34162,0.25601,0.91435,0.96372,0.95704,0.96332,0.80799,0.61733,0.36999,1.02662,0.000113408,0.000113408,0.000113408
48,33710.7,0.34441,0.25463,0.9168,0.94192,0.96867,0.96507,0.81386,0.61262,0.35938,1.02125,0.000110317,0.000110317,0.000110317
49,35508.2,0.34532,0.25325,0.91589,0.96295,0.95655,0.96519,0.80854,0.61165,0.35424,1.02255,0.000107216,0.000107216,0.000107216
50,37211.9,0.34447,0.25768,0.91965,0.96416,0.9624,0.96939,0.81551,0.61882,0.3441,1.02213,0.00010411,0.00010411,0.00010411
51,37900,0.34437,0.25814,0.91869,0.96024,0.9634,0.96951,0.81295,0.62033,0.34377,1.02456,0.000101,0.000101,0.000101
52,39186,0.34875,0.25633,0.92153,0.95419,0.97228,0.96944,0.81995,0.60902,0.33432,1.02246,9.78903e-05,9.78903e-05,9.78903e-05
53,39964.2,0.33765,0.2484,0.91755,0.96677,0.96674,0.96787,0.81189,0.61711,0.3403,1.02292,9.47837e-05,9.47837e-05,9.47837e-05
54,40727,0.33428,0.24817,0.91613,0.96903,0.95794,0.96525,0.80906,0.61519,0.36152,1.02289,9.16833e-05,9.16833e-05,9.16833e-05
55,41114.1,0.33705,0.25073,0.91626,0.96813,0.95789,0.96582,0.8146,0.61191,0.36709,1.02009,8.8592e-05,8.8592e-05,8.8592e-05
56,41490.7,0.34004,0.24995,0.91377,0.95827,0.96218,0.96773,0.81967,0.60449,0.32754,1.02085,8.5513e-05,8.5513e-05,8.5513e-05
57,41843.9,0.33222,0.246,0.90785,0.96461,0.95553,0.96689,0.81551,0.61824,0.34559,1.02263,8.24492e-05,8.24492e-05,8.24492e-05
58,42583.3,0.33407,0.2475,0.91312,0.95628,0.95962,0.96439,0.81508,0.60102,0.34091,1.01643,7.94038e-05,7.94038e-05,7.94038e-05
